games,avg_fouls,avg_yellows,avg_cards_per_foul,yellow_std,foul_std,strictness_pct,consistency_pct,cluster
122,22.114754098360656,2.778688524590164,0.12784109252207315,1.6983818019386814,5.263623365208436,36.666666666666664,78.57142857142857,0.0
46,27.304347826086957,2.782608695652174,0.09894996416319614,1.9990335829346346,6.0511507269917635,13.333333333333334,57.142857142857146,0.0
147,24.45578231292517,3.442176870748299,0.1405695815102407,2.074401223065561,6.135715443783413,70.0,35.71428571428571,1.0
105,25.314285714285713,3.3523809523809525,0.13512996363686064,1.9854322934669395,5.447854704296075,50.0,60.714285714285715,1.0
122,26.360655737704917,3.7704918032786887,0.14327590568834508,2.0999287089272545,7.024238523796135,73.33333333333333,25.0,1.0
27,24.333333333333332,3.6666666666666665,0.1540589189370524,2.0939473213563384,3.7519225840791384,80.0,32.14285714285714,1.0
69,27.434782608695652,3.8115942028985508,0.13963147289267067,1.9649529429991939,5.714991279056609,63.33333333333333,64.28571428571428,1.0
81,22.901234567901234,2.753086419753086,0.1223400291890575,1.6772810154945035,5.395843164584209,30.0,85.71428571428572,0.0
9,22.22222222222222,3.7777777777777777,0.15730429801250234,2.279132388529557,6.741249472052227,90.0,17.85714285714286,1.0
4,22.75,5.25,0.23094541910331384,2.8722813232690143,6.946221994724903,100.0,0.0,2.0
131,25.213740458015266,3.4427480916030535,0.13957697702978478,2.0537406972250993,5.771291861230413,60.0,39.28571428571429,1.0
116,23.482758620689655,3.1120689655172415,0.12991625630397957,2.193950384775046,5.292295891397132,46.666666666666664,21.42857142857143,1.0
64,24.625,2.96875,0.11935690766706931,1.690015027640522,5.02217305777312,26.666666666666668,82.14285714285714,0.0
32,23.0,2.34375,0.10004579418157043,2.009804596504106,5.340049534625879,16.666666666666664,53.57142857142857,0.0
141,23.22695035460993,2.971631205673759,0.1284188556883856,1.8591213839236287,6.20756312242947,40.0,75.0,0.0
146,26.198630136986303,3.232876712328767,0.12377017302400829,2.0104591888950556,5.650291250367723,33.33333333333333,50.0,1.0
3,25.666666666666668,4.0,0.15341269841269842,2.6457513110645907,2.081665999466133,76.66666666666667,3.5714285714285694,1.0
132,24.856060606060606,4.159090909090909,0.1699918276600303,2.2911364074349603,5.316160836741152,96.66666666666667,14.285714285714292,1.0
12,26.416666666666668,3.8333333333333335,0.14050178651514014,2.0375267241229382,3.964807305493795,66.66666666666666,42.85714285714286,1.0
20,20.9,2.7,0.13702687010147638,1.490319640741189,4.897905030133857,56.666666666666664,89.28571428571429,0.0
1,26.0,1.0,0.038461538461538464,,,3.3333333333333335,,
113,26.47787610619469,3.4513274336283186,0.12951179040642055,2.0265697198295354,5.76798018796866,43.333333333333336,46.42857142857143,1.0
39,24.871794871794872,3.769230769230769,0.15445326025594652,1.8843055186060969,4.6293087308189085,83.33333333333334,71.42857142857143,1.0
22,26.818181818181817,2.6363636363636362,0.09892861733408069,1.2552918289216957,3.659773134217392,10.0,92.85714285714286,0.0
18,24.22222222222222,3.1666666666666665,0.13634801482016384,2.3072774891123746,5.662628318821939,53.333333333333336,7.142857142857139,1.0
28,23.5,3.6785714285714284,0.1599523788341621,2.2941725116537146,4.451383472002251,93.33333333333333,10.714285714285708,1.0
47,25.78723404255319,2.9361702127659575,0.11338058395146863,1.8928269095530672,4.544160946192692,23.333333333333332,67.85714285714286,0.0
99,24.1010101010101,3.797979797979798,0.1565564459735376,2.099464450563417,5.910031163795992,86.66666666666667,28.57142857142857,1.0
1,29.0,2.0,0.06896551724137931,,,6.666666666666667,,
3,25.333333333333332,2.3333333333333335,0.10403425738111337,0.5773502691896257,7.234178138070234,20.0,96.42857142857143,0.0
