referee,date,total_fouls,total_yellows,rolling_yellows,rolling_fouls
Mike Dean,2017-11-18,34,5,4.0,24.0
Mike Dean,2017-11-25,18,2,3.8,23.4
Mike Dean,2017-12-03,14,4,4.1,22.5
Mike Dean,2017-12-09,31,7,3.6,22.6
Mike Dean,2017-12-26,21,1,3.3,22.8
Mike Dean,2017-12-31,26,6,3.5,23.3
Mike Dean,2018-01-04,19,2,3.7,23.3
Mike Dean,2018-01-20,24,6,3.9,23.6
Mike Dean,2018-01-31,24,4,4.0,23.9
Mike Dean,2018-02-05,23,7,4.4,23.4
Mike Dean,2018-02-24,24,1,4.0,22.4
Mike Dean,2018-03-11,19,2,4.0,22.5
Mike Dean,2018-03-17,32,5,4.1,24.3
Mike Dean,2018-04-14,30,8,4.2,24.2
Mike Dean,2018-04-22,27,3,4.4,24.8
Mike Dean,2018-04-28,30,2,4.0,25.2
Mike Dean,2018-05-06,14,3,4.1,24.7
Mike Dean,2018-08-11,26,3,3.8,24.9
Mike Dean,2018-08-18,21,3,3.7,24.6
Mike Dean,2018-09-15,25,6,3.6,24.8
Mike Dean,2018-09-23,22,3,3.8,24.6
Mike Dean,2018-10-01,23,7,4.3,25.0
Mike Dean,2018-10-06,20,4,4.2,23.8
Mike Dean,2018-10-20,32,7,4.1,24.0
Mike Dean,2018-10-27,23,3,4.1,23.6
Mike Dean,2018-11-03,25,3,4.2,23.1
Mike Dean,2018-11-10,24,2,4.1,24.1
Mike Dean,2018-12-02,33,9,4.7,24.8
Mike Dean,2018-12-09,32,7,5.1,25.9
Mike Dean,2018-12-15,27,3,4.8,26.1
Mike Dean,2018-12-22,29,5,5.0,26.8
Mike Dean,2018-12-26,15,4,4.7,26.0
Mike Dean,2019-01-02,23,7,5.0,26.3
Mike Dean,2019-01-13,23,3,4.6,25.4
Mike Dean,2019-01-29,28,6,4.9,25.9
Mike Dean,2019-02-03,26,8,5.4,26.0
Mike Dean,2019-02-10,28,3,5.5,26.4
Mike Dean,2019-02-23,24,4,5.0,25.5
Mike Dean,2019-03-02,19,4,4.7,24.2
Mike Dean,2019-03-16,22,5,4.9,23.7
Mike Dean,2019-04-02,16,6,5.0,22.4
Mike Dean,2019-04-13,19,6,5.2,22.8
Mike Dean,2019-04-23,27,7,5.2,23.2
Mike Dean,2019-04-27,19,5,5.4,22.8
Mike Dean,2019-05-06,20,5,5.3,22.0
Mike Dean,2019-05-12,19,6,5.1,21.3
Mike Dean,2019-08-10,26,4,5.2,21.1
Mike Dean,2019-08-17,30,3,5.1,21.7
Mike Dean,2019-08-25,21,4,5.1,21.9
Mike Dean,2019-08-31,29,6,5.2,22.6
Mike Dean,2019-09-16,27,6,5.2,23.7
Mike Dean,2019-09-21,17,4,5.0,23.5
Mike Dean,2019-10-06,26,6,4.9,23.4
Mike Dean,2019-10-21,25,8,5.2,24.0
Mike Dean,2019-10-26,27,8,5.5,24.7
Mike Dean,2019-11-09,29,5,5.4,25.7
Mike Dean,2019-11-23,14,2,5.2,24.5
Mike Dean,2019-12-04,35,3,5.2,25.0
Mike Dean,2019-12-09,21,2,5.0,25.0
Mike Dean,2019-12-21,26,4,4.8,24.7
Mike Dean,2019-12-28,30,7,4.9,25.0
Mike Dean,2020-01-01,33,7,5.2,26.6
Mike Dean,2020-01-12,24,2,4.8,26.4
Mike Dean,2020-01-18,29,3,4.3,26.8
Mike Dean,2020-02-02,25,8,4.3,26.6
Mike Dean,2020-02-14,30,7,4.5,26.7
Mike Dean,2020-02-22,23,7,5.0,27.6
Mike Dean,2020-03-08,24,6,5.3,26.5
Mike Dean,2020-06-21,33,4,5.5,27.7
Mike Dean,2020-06-25,33,1,5.2,28.4
Mike Dean,2020-07-04,23,1,4.6,27.7
Mike Dean,2020-07-15,21,0,3.9,26.5
Mike Dean,2020-07-26,27,6,4.3,26.8
Mike Dean,2020-09-14,27,3,4.3,26.6
Mike Dean,2020-09-19,24,1,3.6,26.5
Mike Dean,2020-10-03,31,3,3.2,26.6
Mike Dean,2020-10-24,31,3,2.8,27.4
Mike Dean,2020-11-01,31,6,2.8,28.1
Mike Dean,2020-11-06,16,1,2.5,26.4
Mike Dean,2020-11-21,37,4,2.8,26.8
Mike Dean,2020-11-28,25,5,3.2,27.0
Mike Dean,2020-12-12,39,13,4.5,28.8
Mike Dean,2020-12-19,25,4,4.3,28.6
Mike Dean,2020-12-26,36,3,4.3,29.5
Mike Dean,2021-01-21,21,3,4.5,29.2
Mike Dean,2021-01-27,29,2,4.4,29.0
Mike Dean,2021-02-02,17,5,4.6,27.6
Mike Dean,2021-02-06,23,4,4.4,26.8
Mike Dean,2021-02-20,31,3,4.6,28.3
Mike Dean,2021-02-27,26,2,4.4,27.2
Mike Dean,2021-03-08,25,2,4.1,27.2
Mike Dean,2021-03-21,35,5,3.3,26.8
Mike Dean,2021-04-04,21,4,3.3,26.4
Mike Dean,2021-04-11,20,6,3.6,24.8
Mike Dean,2021-05-02,21,3,3.6,24.8
Mike Dean,2021-05-16,26,0,3.4,24.5
Mike Dean,2021-05-18,31,7,3.6,25.9
Mike Dean,2021-05-23,20,5,3.7,25.6
Mike Dean,2021-08-14,36,4,3.8,26.1
Mike Dean,2021-08-21,22,0,3.6,25.7
Mike Dean,2021-08-29,23,7,4.1,25.5
Mike Dean,2021-09-17,24,4,4.0,24.4
Mike Dean,2021-09-25,28,4,4.0,25.1
Mike Dean,2021-10-18,16,2,3.6,24.7
Mike Dean,2021-10-30,18,4,3.7,24.4
Mike Dean,2021-11-20,19,2,3.9,23.7
Mike Dean,2021-12-01,26,0,3.2,23.2
Mike Dean,2021-12-06,21,4,3.1,23.3
Mike Dean,2021-12-16,23,4,3.1,22.0
Mike Dean,2021-12-29,26,5,3.6,22.4
Mike Dean,2022-01-03,22,4,3.3,22.3
Mike Dean,2022-01-16,19,5,3.4,21.8
Mike Dean,2022-01-21,28,4,3.4,21.8
Mike Dean,2022-02-08,25,3,3.5,22.7
Mike Dean,2022-02-19,23,1,3.2,23.2
Mike Dean,2022-02-26,16,4,3.4,22.9
Mike Dean,2022-03-12,31,4,3.8,23.4
Mike Dean,2022-04-06,31,4,3.8,24.4
Mike Dean,2022-04-20,23,3,3.7,24.4
Mike Dean,2022-04-28,27,1,3.3,24.5
Mike Dean,2022-05-01,17,4,3.3,24.0
Mike Dean,2022-05-11,25,3,3.1,24.6
Mike Dean,2022-05-15,27,5,3.2,24.5
Mike Dean,2022-05-22,27,0,2.9,24.7
Mike Jones,2017-08-12,25,3,3.0,25.0
Mike Jones,2017-09-10,29,5,4.0,27.0
Mike Jones,2017-09-30,22,3,3.6666666666666665,25.333333333333332
Mike Jones,2017-10-28,24,5,4.0,25.0
Mike Jones,2017-11-18,28,2,3.6,25.6
Mike Jones,2017-11-25,30,5,3.8333333333333335,26.333333333333332
Mike Jones,2017-12-12,22,0,3.2857142857142856,25.714285714285715
Mike Jones,2017-12-23,20,1,3.0,25.0
Mike Jones,2018-01-02,34,5,3.2222222222222223,26.0
Mike Jones,2018-01-13,28,7,3.6,26.2
Mike Jones,2018-02-10,27,5,3.8,26.4
Mike Jones,2018-05-05,28,5,3.8,26.3
Niel Swarbrick,2017-08-12,26,2,2.0,26.0
Niel Swarbrick,2017-08-26,30,4,3.0,28.0
Niel Swarbrick,2017-09-09,21,0,2.0,25.666666666666668
Niel Swarbrick,2017-09-23,20,4,2.5,24.25
Niel Swarbrick,2017-09-30,11,2,2.4,21.6
Niel Swarbrick,2017-10-14,22,1,2.1666666666666665,21.666666666666668
Niel Swarbrick,2017-10-29,23,4,2.4285714285714284,21.857142857142858
Niel Swarbrick,2017-11-04,24,3,2.5,22.125
Niel Swarbrick,2017-11-25,27,2,2.4444444444444446,22.666666666666668
Niel Swarbrick,2017-11-29,17,1,2.3,22.1
Niel Swarbrick,2017-12-09,19,3,2.4,21.4
Niel Swarbrick,2017-12-23,23,1,2.1,20.7
Niel Swarbrick,2017-12-30,13,5,2.6,19.9
Niel Swarbrick,2018-01-22,14,2,2.4,19.3
Niel Swarbrick,2018-01-30,28,4,2.6,21.0
Niel Swarbrick,2018-02-03,20,2,2.7,20.8
Niel Swarbrick,2018-03-05,20,4,2.7,20.5
Niel Swarbrick,2018-03-31,18,4,2.8,19.9
Niel Swarbrick,2018-04-29,20,1,2.7,19.2
Niel Swarbrick,2018-05-09,22,5,3.1,19.7
O Oliver,2025-04-14,21,5,5.0,21.0
Oliver Langford,2019-08-18,26,1,1.0,26.0
P Bankes,2022-08-06,34,6,6.0,34.0
P Bankes,2022-08-20,20,5,5.5,27.0
P Bankes,2022-08-28,21,3,4.666666666666667,25.0
P Bankes,2022-08-31,19,7,5.25,23.5
P Bankes,2022-10-16,10,2,4.6,20.8
P Bankes,2022-10-20,26,3,4.333333333333333,21.666666666666668
P Bankes,2022-11-12,16,4,4.285714285714286,20.857142857142858
P Bankes,2023-01-01,30,4,4.25,22.0
P Bankes,2023-01-15,27,7,4.555555555555555,22.555555555555557
P Bankes,2023-01-22,28,4,4.5,23.1
P Bankes,2023-02-04,24,3,4.2,22.1
P Bankes,2023-02-11,18,2,3.9,21.9
P Bankes,2023-02-25,28,6,4.2,22.6
P Bankes,2023-03-15,33,3,3.8,24.0
P Bankes,2023-04-01,28,5,4.1,25.8
P Bankes,2023-04-08,24,7,4.5,25.6
P Bankes,2023-04-22,25,5,4.6,26.5
P Bankes,2023-04-29,19,3,4.5,25.4
P Bankes,2023-05-07,13,2,4.0,24.0
P Bankes,2023-05-13,23,6,4.2,23.5
P Bankes,2023-05-21,17,4,4.3,22.8
P Bankes,2023-08-12,23,5,4.6,23.3
P Bankes,2023-08-18,14,5,4.5,21.9
P Bankes,2023-08-26,24,0,4.2,21.0
P Bankes,2023-09-16,27,11,4.8,20.9
P Bankes,2023-10-03,20,6,4.7,20.5
P Bankes,2023-10-08,29,6,4.8,20.9
P Bankes,2023-11-04,21,5,5.0,21.1
P Bankes,2023-12-02,20,3,5.1,21.8
P Bankes,2023-12-06,18,4,4.9,21.3
P Bankes,2023-12-09,17,4,4.9,21.3
P Bankes,2024-09-21,24,6,5.0,21.4
P Bankes,2024-09-28,19,5,5.0,21.9
P Bankes,2024-10-05,14,3,5.3,20.9
P Bankes,2024-10-19,20,4,4.6,20.2
P Bankes,2024-11-02,16,3,4.3,19.8
P Bankes,2024-11-10,14,1,3.8,18.3
P Bankes,2024-11-30,24,5,3.8,18.6
P Bankes,2024-12-05,15,4,3.9,18.1
P Bankes,2024-12-15,18,2,3.7,18.1
P Bankes,2024-12-21,21,6,3.9,18.5
P Bankes,2025-01-01,14,3,3.6,17.5
P Bankes,2025-01-06,18,3,3.4,17.4
P Bankes,2025-01-19,25,6,3.7,18.5
P Bankes,2025-01-26,29,5,3.8,19.4
P Bankes,2025-02-02,13,2,3.7,19.1
P Bankes,2025-02-16,22,3,3.9,19.9
P Bankes,2025-02-25,23,4,3.8,19.8
P Bankes,2025-04-02,24,2,3.6,20.7
P Bankes,2025-04-05,28,4,3.8,21.7
P Bankes,2025-04-21,23,5,3.7,21.9
P Bankes,2025-04-27,23,6,4.0,22.8
P Bankes,2025-05-02,18,0,3.7,22.8
P Bankes,2025-05-16,17,3,3.4,22.0
P Bankes,2025-08-17,22,3,3.2,21.3
P Bankes,2025-08-23,19,5,3.5,21.9
P Bankes,2025-08-30,25,2,3.4,22.2
P Bankes,2025-09-13,26,8,3.8,22.5
P Bankes,2025-09-20,27,5,4.1,22.8
P Bankes,2025-10-05,31,4,4.1,23.1
P Bankes,2025-10-25,29,2,3.8,23.7
P Bankes,2025-11-01,18,3,3.5,23.2
P Bankes,2025-11-22,21,5,4.0,23.5
P Bankes,2025-11-29,28,5,4.2,24.6
P Bankes,2025-12-06,18,2,4.1,24.2
P Bankes,2025-12-14,20,9,4.5,24.3
P Bankes,2025-12-27,17,4,4.7,23.5
P Bankes,2026-01-03,21,1,4.0,23.0
P Bankes,2026-01-07,17,6,4.1,22.0
P Bankes,2026-01-24,17,1,3.8,20.6
P Bankes,2026-02-06,21,2,3.8,19.8
P Bankes,2026-02-11,24,5,4.0,20.4
P Bankes,2026-02-22,28,3,3.8,21.1
P Bankes,2026-02-28,18,3,3.6,20.1
P Bankes,2026-03-04,31,5,3.9,21.4
P Bankes,2026-03-14,16,1,3.1,21.0
P Tierney,2022-08-07,19,5,5.0,19.0
P Tierney,2022-08-15,15,6,5.5,17.0
P Tierney,2022-08-27,17,3,4.666666666666667,17.0
P Tierney,2022-08-31,16,1,3.75,16.75
P Tierney,2022-09-04,22,6,4.2,17.8
P Tierney,2022-10-01,14,4,4.166666666666667,17.166666666666668
P Tierney,2022-10-09,36,6,4.428571428571429,19.857142857142858
P Tierney,2022-10-15,25,5,4.5,20.5
P Tierney,2022-10-22,22,3,4.333333333333333,20.666666666666668
P Tierney,2022-10-29,22,2,4.1,20.8
P Tierney,2022-11-06,17,2,3.8,20.6
P Tierney,2022-11-13,19,2,3.4,21.0
P Tierney,2022-12-26,19,0,3.1,21.2
P Tierney,2023-01-05,18,2,3.2,21.4
P Tierney,2023-01-14,23,3,2.9,21.5
P Tierney,2023-01-23,20,4,2.9,22.1
P Tierney,2023-02-04,16,2,2.5,20.1
P Tierney,2023-02-12,23,3,2.3,19.9
P Tierney,2023-02-18,18,4,2.4,19.5
P Tierney,2023-02-25,19,4,2.6,19.2
P Tierney,2023-03-01,27,5,2.9,20.2
P Tierney,2023-03-11,21,2,2.9,20.4
P Tierney,2023-03-17,26,6,3.5,21.1
P Tierney,2023-04-02,21,2,3.5,21.4
P Tierney,2023-04-09,22,8,4.0,21.3
P Tierney,2023-04-15,20,2,3.8,21.3
P Tierney,2023-04-25,29,6,4.2,22.6
P Tierney,2023-04-30,18,5,4.4,22.1
P Tierney,2023-05-13,28,4,4.4,23.1
P Tierney,2023-05-21,17,7,4.7,22.9
P Tierney,2023-08-26,11,3,4.5,21.3
P Tierney,2023-09-01,21,2,4.5,21.3
P Tierney,2023-09-23,25,5,4.4,21.2
P Tierney,2023-10-01,16,3,4.5,20.7
P Tierney,2023-10-21,25,8,4.5,21.0
P Tierney,2023-10-29,13,5,4.8,20.3
P Tierney,2023-11-12,28,3,4.5,20.2
P Tierney,2023-12-02,29,1,4.1,21.3
P Tierney,2023-12-10,15,3,4.0,20.0
P Tierney,2023-12-16,21,2,3.5,20.4
P Tierney,2023-12-26,17,3,3.5,21.0
P Tierney,2023-12-30,35,4,3.7,22.4
P Tierney,2024-01-20,20,0,3.2,21.9
P Tierney,2024-01-31,31,6,3.5,23.4
P Tierney,2024-02-03,17,1,2.8,22.6
P Tierney,2024-02-19,20,2,2.5,23.3
P Tierney,2024-02-24,21,1,2.3,22.6
P Tierney,2024-03-02,23,4,2.6,22.0
P Tierney,2024-03-30,30,7,3.0,23.5
P Tierney,2024-04-06,16,2,3.0,23.0
P Tierney,2024-04-15,26,5,3.2,23.9
P Tierney,2024-04-20,23,5,3.3,22.7
P Tierney,2024-04-28,24,4,3.7,23.1
P Tierney,2024-05-05,26,5,3.6,22.6
P Tierney,2024-05-12,11,2,3.7,22.0
P Tierney,2025-12-20,26,2,3.7,22.6
P Tierney,2026-01-19,13,5,4.1,21.8
P Tierney,2026-02-02,22,5,4.2,21.7
P Tierney,2026-02-11,18,4,3.9,20.5
P Tierney,2026-02-18,14,3,4.0,20.3
P Tierney,2026-03-14,19,4,3.9,19.6
P Tierney,2026-03-22,10,1,3.5,18.3
P Tierney,2026-04-13,27,5,3.6,18.6
P Tierney,2026-04-18,21,1,3.2,18.1
P Tierney,2026-05-02,22,4,3.4,19.2
P Tierney,2026-05-10,27,2,3.4,19.3
P Tierney,2026-05-18,23,4,3.3,20.3
Paul Tierney,2017-09-16,23,4,4.0,23.0
Paul Tierney,2017-10-14,34,6,5.0,28.5
Paul Tierney,2017-11-04,26,4,4.666666666666667,27.666666666666668
Paul Tierney,2017-11-29,26,2,4.0,27.25
Paul Tierney,2017-12-02,18,2,3.6,25.4
Paul Tierney,2017-12-13,27,2,3.3333333333333335,25.666666666666668
Paul Tierney,2017-12-23,24,0,2.857142857142857,25.428571428571427
Paul Tierney,2017-12-30,30,3,2.875,26.0
Paul Tierney,2018-01-20,17,1,2.6666666666666665,25.0
Paul Tierney,2018-02-03,37,5,2.9,26.2
Paul Tierney,2018-03-03,24,2,2.7,26.3
Paul Tierney,2018-03-31,19,0,2.1,24.8
Paul Tierney,2018-04-07,33,4,2.1,25.5
Paul Tierney,2018-04-15,27,2,2.1,25.6
Paul Tierney,2018-05-09,15,1,2.0,25.3
Paul Tierney,2018-05-13,27,0,1.8,25.3
Paul Tierney,2018-08-19,31,3,2.1,26.0
Paul Tierney,2018-08-26,29,4,2.2,25.9
Paul Tierney,2018-09-01,24,5,2.6,26.6
Paul Tierney,2018-09-22,21,2,2.3,25.0
Paul Tierney,2018-10-07,26,2,2.3,25.2
Paul Tierney,2018-11-03,26,7,3.0,25.9
Paul Tierney,2018-11-11,26,2,2.8,25.2
Paul Tierney,2018-11-24,30,3,2.9,25.5
Paul Tierney,2018-12-01,24,6,3.4,26.4
Paul Tierney,2018-12-04,14,1,3.5,25.1
Paul Tierney,2018-12-08,32,9,4.1,25.2
Paul Tierney,2018-12-23,26,2,3.9,24.9
Paul Tierney,2018-12-30,22,5,3.9,24.7
Paul Tierney,2019-01-12,29,5,4.2,25.5
Paul Tierney,2019-01-19,23,1,4.1,25.2
Paul Tierney,2019-01-29,21,5,3.9,24.7
Paul Tierney,2019-02-02,20,0,3.7,24.1
Paul Tierney,2019-02-09,30,5,3.9,24.1
Paul Tierney,2019-03-09,21,2,3.5,23.8
Paul Tierney,2019-03-30,24,2,3.6,24.8
Paul Tierney,2019-04-05,16,6,3.3,23.2
Paul Tierney,2019-04-21,20,2,3.3,22.6
Paul Tierney,2019-04-28,12,2,3.0,21.6
Paul Tierney,2019-05-05,27,1,2.6,21.4
Paul Tierney,2019-08-24,33,6,3.1,22.4
Paul Tierney,2019-08-31,31,3,2.9,23.4
Paul Tierney,2019-09-15,20,4,3.3,23.4
Paul Tierney,2019-09-21,35,3,3.1,23.9
Paul Tierney,2019-09-28,17,1,3.0,23.5
Paul Tierney,2019-10-06,27,1,2.9,23.8
Paul Tierney,2019-10-19,32,4,2.7,25.4
Paul Tierney,2019-11-03,33,4,2.9,26.7
Paul Tierney,2019-11-09,27,2,2.9,28.2
Paul Tierney,2019-11-23,28,4,3.2,28.3
Paul Tierney,2019-12-01,23,3,2.9,27.3
Paul Tierney,2019-12-04,18,1,2.7,26.0
Paul Tierney,2019-12-15,37,5,2.8,27.7
Paul Tierney,2019-12-28,23,2,2.7,26.5
Paul Tierney,2020-01-02,23,0,2.6,27.1
Paul Tierney,2020-01-11,39,5,3.0,28.3
Paul Tierney,2020-01-18,20,4,3.0,27.1
Paul Tierney,2020-02-01,32,5,3.1,27.0
Paul Tierney,2020-02-22,30,0,2.9,27.3
Paul Tierney,2020-03-07,24,1,2.6,26.9
Paul Tierney,2020-06-21,29,3,2.6,27.5
Paul Tierney,2020-07-05,31,2,2.7,28.8
Paul Tierney,2020-07-09,27,5,2.7,27.8
Paul Tierney,2020-07-15,29,4,2.9,28.4
Paul Tierney,2020-07-22,22,4,3.3,28.3
Paul Tierney,2020-09-20,21,0,2.8,26.5
Paul Tierney,2020-09-27,26,3,2.7,27.1
Paul Tierney,2020-10-18,28,5,2.7,26.7
Paul Tierney,2020-10-23,40,4,3.1,27.7
Paul Tierney,2020-11-07,38,6,3.6,29.1
Paul Tierney,2020-11-29,33,6,3.9,29.5
Paul Tierney,2020-12-06,29,4,4.1,29.3
Paul Tierney,2020-12-16,28,7,4.3,29.4
Paul Tierney,2020-12-27,40,5,4.4,30.5
Paul Tierney,2020-12-30,23,5,4.5,30.6
Paul Tierney,2021-01-13,33,3,4.8,31.8
Paul Tierney,2021-01-17,25,3,4.8,31.7
Paul Tierney,2021-01-27,26,1,4.4,31.5
Paul Tierney,2021-02-02,26,3,4.3,30.1
Paul Tierney,2021-02-13,32,4,4.1,29.5
Paul Tierney,2021-02-21,22,3,3.8,28.4
Paul Tierney,2021-02-28,19,3,3.7,27.4
Paul Tierney,2021-03-06,37,7,3.7,28.3
Paul Tierney,2021-03-12,28,5,3.7,27.1
Paul Tierney,2021-04-10,31,6,3.8,27.9
Paul Tierney,2021-05-03,28,2,3.7,27.4
Paul Tierney,2021-08-14,27,3,3.7,27.6
Paul Tierney,2021-08-22,21,3,3.9,27.1
Paul Tierney,2021-08-28,24,6,4.2,26.9
Paul Tierney,2021-09-11,21,3,4.1,25.8
Paul Tierney,2021-09-19,25,1,3.9,26.1
Paul Tierney,2021-10-03,26,6,4.2,26.8
Paul Tierney,2021-10-24,17,3,3.8,24.8
Paul Tierney,2021-10-30,30,5,3.8,25.0
Paul Tierney,2021-11-20,26,4,3.6,24.5
Paul Tierney,2021-12-01,27,7,4.1,24.4
Paul Tierney,2021-12-04,26,2,4.0,24.3
Paul Tierney,2021-12-14,25,2,3.9,24.7
Paul Tierney,2021-12-19,27,8,4.1,25.0
Paul Tierney,2021-12-28,25,3,4.1,25.4
Paul Tierney,2022-01-02,24,3,4.3,25.3
Paul Tierney,2022-01-15,32,5,4.2,25.9
Paul Tierney,2022-01-23,32,3,4.2,27.4
Paul Tierney,2022-02-09,33,3,4.0,27.7
Paul Tierney,2022-02-20,36,9,4.5,28.7
Paul Tierney,2022-02-26,28,5,4.3,28.8
Paul Tierney,2022-03-12,15,2,4.3,27.7
Paul Tierney,2022-04-04,30,2,4.3,28.2
Paul Tierney,2022-04-17,22,4,3.9,27.7
Paul Tierney,2022-04-30,23,3,3.9,27.5
Paul Tierney,2022-05-12,25,7,4.3,27.6
Paul Tierney,2022-05-19,32,1,3.9,27.6
Paul Tierney,2022-05-22,29,6,4.2,27.3
Peter Bankes,2019-08-31,25,4,4.0,25.0
Peter Bankes,2019-10-19,29,5,4.5,27.0
Peter Bankes,2019-11-30,26,2,3.6666666666666665,26.666666666666668
Peter Bankes,2019-12-14,21,4,3.75,25.25
Peter Bankes,2019-12-21,23,6,4.2,24.8
Peter Bankes,2020-01-11,30,3,4.0,25.666666666666668
Peter Bankes,2020-02-22,30,8,4.571428571428571,26.285714285714285
Peter Bankes,2020-07-01,22,5,4.625,25.75
Peter Bankes,2020-07-05,26,0,4.111111111111111,25.77777777777778
Peter Bankes,2020-07-20,29,3,4.0,26.1
Peter Bankes,2020-07-26,26,1,3.7,26.2
Peter Bankes,2020-09-27,24,5,3.7,25.7
Peter Bankes,2020-10-17,22,2,3.7,25.3
Peter Bankes,2020-11-06,23,3,3.6,25.5
Peter Bankes,2020-11-30,30,2,3.2,26.2
Peter Bankes,2020-12-15,16,5,3.4,24.8
Peter Bankes,2020-12-20,21,6,3.2,23.9
Peter Bankes,2021-01-16,25,5,3.2,24.2
Peter Bankes,2021-01-27,25,2,3.4,24.1
Peter Bankes,2021-01-31,26,3,3.4,23.8
Peter Bankes,2021-02-15,25,0,3.3,23.7
Peter Bankes,2021-02-27,34,5,3.3,24.7
Peter Bankes,2021-03-14,25,2,3.3,25.0
Peter Bankes,2021-04-11,18,2,3.2,24.5
Peter Bankes,2021-04-21,22,4,3.4,23.7
Peter Bankes,2021-05-09,18,3,3.2,23.9
Peter Bankes,2021-05-18,24,3,2.9,24.2
Peter Bankes,2021-08-28,33,6,3.0,25.0
Peter Bankes,2021-09-11,32,6,3.4,25.7
Peter Bankes,2021-10-03,32,5,3.6,26.3
Peter Bankes,2021-10-16,29,8,4.4,26.7
Peter Bankes,2021-10-30,25,4,4.3,25.8
Peter Bankes,2021-12-12,31,5,4.6,26.4
Peter Bankes,2022-01-22,18,5,4.9,26.4
Peter Bankes,2022-02-15,23,4,4.9,26.5
Peter Bankes,2022-03-05,22,2,4.8,26.9
Peter Bankes,2022-04-08,22,2,4.7,26.7
Peter Bankes,2022-04-16,16,3,4.4,25.0
Peter Bankes,2022-05-07,22,4,4.2,24.0
R Jones,2022-08-06,22,2,2.0,22.0
R Jones,2022-08-14,21,5,3.5,21.5
R Jones,2022-08-31,24,5,4.0,22.333333333333332
R Jones,2022-09-03,17,4,4.0,21.0
R Jones,2022-10-03,25,6,4.4,21.8
R Jones,2022-10-16,23,3,4.166666666666667,22.0
R Jones,2022-10-23,19,3,4.0,21.571428571428573
R Jones,2022-10-29,15,0,3.5,20.75
R Jones,2022-11-12,25,5,3.6666666666666665,21.22222222222222
R Jones,2022-12-26,19,3,3.6,21.0
R Jones,2022-12-31,22,4,3.8,21.0
R Jones,2023-01-15,20,4,3.7,20.9
R Jones,2023-01-18,19,3,3.5,20.4
R Jones,2023-02-05,29,6,3.7,21.6
R Jones,2023-02-12,27,3,3.4,21.8
R Jones,2023-03-04,23,6,3.7,21.8
R Jones,2023-03-11,28,4,3.8,22.7
R Jones,2023-03-18,21,5,4.3,23.3
R Jones,2023-04-04,24,5,4.3,23.2
R Jones,2023-04-08,16,2,4.2,22.9
R Jones,2023-04-15,22,4,4.2,22.9
R Jones,2023-04-25,27,9,4.7,23.6
R Jones,2023-05-02,20,2,4.6,23.7
R Jones,2023-05-08,28,3,4.3,23.6
R Jones,2023-05-18,33,6,4.6,24.2
R Jones,2023-05-28,24,3,4.3,24.3
R Jones,2023-08-13,25,5,4.4,24.0
R Jones,2023-08-19,23,6,4.5,24.2
R Jones,2023-08-25,27,5,4.5,24.5
R Jones,2023-09-03,24,4,4.7,25.3
R Jones,2023-09-18,26,5,4.8,25.7
R Jones,2023-09-24,31,7,4.6,26.1
R Jones,2023-10-08,28,4,4.8,26.9
R Jones,2023-10-21,20,4,4.9,26.1
R Jones,2023-11-04,23,5,4.8,25.1
R Jones,2023-11-26,24,4,4.9,25.1
R Jones,2023-12-02,19,3,4.7,24.5
R Jones,2023-12-23,20,3,4.4,24.2
R Jones,2023-12-30,24,1,4.0,23.9
R Jones,2024-01-30,27,4,4.0,24.2
R Jones,2024-02-11,16,5,4.0,23.2
R Jones,2024-03-09,19,6,3.9,22.0
R Jones,2024-03-16,19,5,4.0,21.1
R Jones,2024-03-30,17,2,3.8,20.8
R Jones,2024-04-07,22,6,3.9,20.7
R Jones,2024-05-02,28,1,3.6,21.1
R Jones,2024-05-05,23,3,3.6,21.5
R Jones,2024-05-15,23,6,3.9,21.8
R Jones,2024-08-16,22,5,4.3,21.6
R Jones,2024-08-24,26,2,4.1,21.5
R Jones,2024-09-01,29,8,4.4,22.8
R Jones,2024-09-22,23,7,4.5,23.2
R Jones,2024-10-06,23,6,4.6,23.6
R Jones,2024-10-19,23,2,4.6,24.2
R Jones,2024-11-03,33,8,4.8,25.3
R Jones,2024-11-23,28,3,5.0,25.3
R Jones,2024-11-29,36,6,5.3,26.6
R Jones,2024-12-07,14,1,4.8,25.7
R Jones,2024-12-21,34,4,4.7,26.9
R Jones,2024-12-29,23,4,4.9,26.6
R Jones,2025-01-14,31,5,4.6,26.8
R Jones,2025-01-26,22,6,4.5,26.7
R Jones,2025-02-15,18,3,4.2,26.2
R Jones,2025-02-22,17,4,4.4,25.6
R Jones,2025-03-15,25,0,3.6,24.8
R Jones,2025-04-02,29,3,3.6,24.9
R Jones,2025-04-07,17,2,3.2,23.0
R Jones,2025-04-20,29,5,3.6,24.5
R Jones,2025-05-03,23,5,3.7,23.4
R Jones,2025-05-25,21,4,3.7,23.2
R Jones,2025-08-16,18,1,3.3,21.9
R Jones,2025-08-30,28,4,3.1,22.5
R Jones,2025-09-21,17,3,3.1,22.4
R Jones,2025-09-27,12,4,3.1,21.9
R Jones,2025-10-18,17,0,3.1,21.1
R Jones,2025-11-02,15,3,3.1,19.7
R Jones,2025-11-23,34,6,3.5,21.4
R Jones,2025-11-30,28,5,3.5,21.3
R Jones,2025-12-06,17,7,3.7,20.7
R Jones,2025-12-13,22,4,3.7,20.8
